avg_weeks_unemployed,cont_claims_insur_unemploy,full_employ_level,part_employ_level,not_in_labor_force,gov_unemp_insur,labor_particip_women,labor_particip_men,labor_particip_total,real_estate_loans,consumer_loans,commerc_indust_loans,m1_real,unemp_less_five_weeks,unemp_5_to_14_wks,unemp_15_to_26_wks,unemp_over_27_wks,personal_consum_exp,personal_save_rate,emp_pop_ratio,unemploy_rate,insured_unemploy_rate,corp_profit_aftertax_without,corp_profit_aftertax_with,corp_profit_beforetax_without,fed_debt_precent_gdp,m1_velocity
,,,,,,,,,6.796,4.1612,11.2894,,,,,,,,,,,21.97,9.959,33.466,,
,,,,,,,,,6.9551,4.2966,11.5179,,,,,,,,,,,,,,,
,,,,,,,,,7.1249,4.4306,11.7667,,,,,,,,,,,,,,,
,,,,,,,,,7.2966,4.5687,12.0269,,,,,,,,,,,20.788,13.603,31.668,,
,,,,,,,,,7.4699,4.7087,12.2788,,,,,,,,,,,,,,,
,,,,,,,,,7.6361,4.8465,12.4832,,,,,,,,,,,,,,,
,,,,,,,,,7.8092,4.9815,12.78,,,,,,,,,,,20.564,13.868,31.288,,
,,,,,,,,,7.9809,5.1168,13.0822,,,,,,,,,,,,,,,
,,,,,,,,,8.1487,5.2484,13.3523,,,,,,,,,,,,,,,
,,,,,,,,,8.3174,5.3819,13.6287,,,,,,,,,,,22.451,14.455,34.123,,
,,,,,,,,,8.4845,5.5142,13.8998,,,,,,,,,,,,,,,
,,,,,,,,,8.6428,5.6456,14.2053,,,,,,,,,,,,,,,
8.9,,58061.0,.,.,,32.0,86.7,58.6,8.8194,5.7786,14.4049,,1188.0,507.0,183.0,128.0,,,56.6,3.4,.,23.739,17.971,35.747,,
8.4,,58196.0,.,.,,32.4,87.0,58.9,8.9518,5.903,14.5635,,1377.0,677.0,162.0,121.0,,,56.7,3.8,.,,,,,
8.7,,57671.0,.,.,,32.1,86.3,58.5,9.0946,6.0272,14.7454,,1279.0,830.0,182.0,110.0,,,56.1,4.0,.,,,,,
8.5,,58291.0,.,.,,33.0,86.6,59.0,9.2382,6.1559,14.9301,,1461.0,694.0,215.0,109.0,,,56.7,3.9,.,24.941,19.109,37.589,,
9.1,,57854.0,.,.,,32.0,86.1,58.3,9.3782,6.2822,15.0976,,1146.0,671.0,220.0,109.0,,,56.2,3.5,.,,,,,
8.8,,58743.0,.,.,,33.4,86.6,59.2,9.5132,6.4087,15.2158,,1287.0,611.0,204.0,118.0,,,57.0,3.6,.,,,,,
8.6,,58968.0,.,.,,33.4,86.7,59.3,9.6263,6.5025,15.2705,,1259.0,643.0,188.0,107.0,,,57.1,3.6,.,24.551,18.762,36.959,,
8.8,,58456.0,.,.,,32.7,86.7,58.9,9.7141,6.5749,15.212,,1511.0,591.0,204.0,128.0,,,56.6,3.9,.,,,,,
8.5,,58513.0,.,.,,33.0,86.3,58.9,9.8022,6.647,15.1478,,1245.0,759.0,171.0,127.0,,,56.6,3.8,.,,,,,
9.5,,58387.0,.,.,,32.4,86.6,58.7,9.8895,6.7191,15.0945,,1210.0,655.0,188.0,136.0,,,56.5,3.7,.,23.76,20.713,35.712,,
7.8,,58417.0,.,.,,32.6,86.5,58.7,9.975,6.7905,15.0462,,1251.0,682.0,187.0,95.0,,,56.5,3.8,.,,,,,
