DATE,target_leisure_hospitality
1939-01,1860
1939-02,1867
1939-03,1877
1939-04,1887
1939-05,1888
1939-06,1895
1939-07,1897
1939-08,1899
1939-09,1918
1939-10,1910
1939-11,1913
1939-12,1930
1940-01,1936
1940-02,1945
1940-03,1993
1940-04,1965
1940-05,1979
1940-06,1995
1940-07,1988
1940-08,2000
1940-09,2023
1940-10,2023
1940-11,2025
1940-12,2056
1941-01,2045
1941-02,2061
1941-03,2074
1941-04,2138
1941-05,2110
1941-06,2133
1941-07,2151
1941-08,2172
1941-09,2175
1941-10,2165
1941-11,2165
1941-12,2165
1942-01,2161
1942-02,2154
1942-03,2149
1942-04,2141
1942-05,2137
1942-06,2123
1942-07,2118
1942-08,2124
1942-09,2118
1942-10,2132
1942-11,2126
1942-12,2118
1943-01,2115
1943-02,2113
1943-03,2112
1943-04,2139
1943-05,2118
1943-06,2128
1943-07,2125
1943-08,2122
1943-09,2115
1943-10,2133
1943-11,2142
1943-12,2112
1944-01,2139
1944-02,2142
1944-03,2138
1944-04,2138
1944-05,2135
1944-06,2136
1944-07,2145
1944-08,2149
1944-09,2139
1944-10,2154
1944-11,2159
1944-12,2135
1945-01,2170
1945-02,2179
1945-03,2188
1945-04,2147
1945-05,2166
1945-06,2171
1945-07,2182
1945-08,2194
1945-09,2215
1945-10,2242
1945-11,2274
1945-12,2264
1946-01,2350
1946-02,2392
1946-03,2413
1946-04,2458
1946-05,2461
1946-06,2477
1946-07,2496
1946-08,2535
1946-09,2536
1946-10,2545
1946-11,2579
1946-12,2564
1947-01,2587
1947-02,2600
1947-03,2612
1947-04,2620
1947-05,2637
1947-06,2649
1947-07,2659
1947-08,2666
1947-09,2673
1947-10,2690
1947-11,2697
1947-12,2695
1948-01,2704
1948-02,2706
1948-03,2713
1948-04,2697
1948-05,2720
1948-06,2729
1948-07,2736
1948-08,2739
1948-09,2736
1948-10,2735
1948-11,2737
1948-12,2743
1949-01,2730
1949-02,2734
1949-03,2727
1949-04,2760
1949-05,2735
1949-06,2725
1949-07,2718
1949-08,2715
1949-09,2729
1949-10,2719
1949-11,2715
1949-12,2735
1950-01,2717
1950-02,2720
1950-03,2727
1950-04,2740
1950-05,2751
1950-06,2765
1950-07,2777
1950-08,2801
1950-09,2801
1950-10,2803
1950-11,2807
1950-12,2818
1951-01,2838
1951-02,2853
1951-03,2894
1951-04,2828
1951-05,2873
1951-06,2880
1951-07,2883
1951-08,2888
1951-09,2887
1951-10,2887
1951-11,2898
1951-12,2904
1952-01,2906
1952-02,2912
1952-03,2905
1952-04,2927
1952-05,2933
1952-06,2939
1952-07,2949
1952-08,2958
1952-09,2972
1952-10,2986
1952-11,2995
1952-12,3005
1953-01,3006
1953-02,3017
1953-03,3027
1953-04,2999
1953-05,3032
1953-06,3036
1953-07,3037
1953-08,3041
1953-09,3039
1953-10,3047
1953-11,3040
1953-12,3035
1954-01,3032
1954-02,3031
1954-03,3012
1954-04,3043
1954-05,3028
1954-06,3025
1954-07,3031
1954-08,3033
1954-09,3034
1954-10,3033
1954-11,3041
1954-12,3060
1955-01,3063
1955-02,3070
1955-03,3088
1955-04,3106
1955-05,3116
1955-06,3132
1955-07,3149
1955-08,3162
1955-09,3180
1955-10,3185
1955-11,3198
1955-12,3218
1956-01,3230
1956-02,3241
1956-03,3272
1956-04,3232
1956-05,3245
1956-06,3245
1956-07,3231
1956-08,3232
1956-09,3227
1956-10,3244
1956-11,3248
1956-12,3249
1957-01,3245
1957-02,3257
1957-03,3258
1957-04,3282
1957-05,3266
1957-06,3268
1957-07,3277
1957-08,3278
1957-09,3280
1957-10,3270
1957-11,3270
1957-12,3257
1958-01,3256
1958-02,3238
1958-03,3229
1958-04,3220
1958-05,3219
1958-06,3221
1958-07,3226
1958-08,3237
1958-09,3251
1958-10,3260
1958-11,3269
1958-12,3287
1959-01,3298
1959-02,3319
1959-03,3341
1959-04,3346
1959-05,3364
1959-06,3371
1959-07,3373
1959-08,3382
1959-09,3382
1959-10,3390
1959-11,3398
1959-12,3411
1960-01,3431
1960-02,3451
1960-03,3438
1960-04,3511
1960-05,3461
1960-06,3462
1960-07,3465
1960-08,3463
1960-09,3462
1960-10,3468
1960-11,3459
1960-12,3454
1961-01,3458
1961-02,3445
1961-03,3463
1961-04,3444
1961-05,3448
1961-06,3459
1961-07,3468
1961-08,3472
1961-09,3475
