DATE,avg_weeks_unemployed,cont_claims_insur_unemploy,full_employ_level,part_employ_level,not_in_labor_force,gov_unemp_insur,labor_particip_women,labor_particip_men,labor_particip_total,real_estate_loans,consumer_loans,commerc_indust_loans,m1_real,unemp_less_five_weeks,unemp_5_to_14_wks,unemp_15_to_26_wks,unemp_over_27_wks,personal_consum_exp,personal_save_rate,emp_pop_ratio,unemploy_rate,insured_unemploy_rate,corp_profit_aftertax_without,corp_profit_aftertax_with,corp_profit_beforetax_without,fed_debt_precent_gdp,m1_velocity
1975-01,10.7,3619250.0,85627.0,4133.0,58627.0,12.0,46.3,78.3,61.4,130.0257,101.8961,191.5869,523.7,3293.0,2646.0,930.0,625.0,975.6,13.2,56.4,8.1,5.5,94.707,79.438,133.019,31.53604,5.875
1975-02,11.7,3856500.0,85256.0,3994.0,59214.0,14.0,45.9,78.0,61.0,130.6318,102.0968,190.3805,522.8,2947.0,2616.0,1124.0,717.0,989.4,12.5,56.1,8.1,5.875,,,,,
1975-03,11.8,4175200.0,85187.0,4087.0,59052.0,16.5,46.2,78.0,61.2,131.1786,101.8983,188.1191,523.5,3193.0,2630.0,1305.0,769.0,990.6,12.7,56.0,8.6,6.34,,,,,
1975-04,12.9,4473500.0,85189.0,4179.0,59044.0,18.8,46.3,78.1,61.3,131.6391,101.4266,187.4109,521.1,2915.0,2719.0,1478.0,964.0,995.0,14.2,55.9,8.8,6.75,99.406,87.52,140.826,32.27817,5.915
1975-05,13.4,4578200.0,85451.0,3972.0,58820.0,19.6,46.4,78.3,61.5,131.7233,101.1605,186.074,525.8,3051.0,2692.0,1554.0,1089.0,1018.9,17.3,56.0,9.0,6.88,,,,,
1975-06,15.3,4377250.0,85355.0,3774.0,59400.0,19.8,46.3,77.8,61.2,131.8532,101.102,184.638,527.9,2872.0,2526.0,1538.0,1305.0,1026.8,14.3,55.8,8.8,6.6,,,,,
1975-07,15.0,4144750.0,85894.0,3669.0,59288.0,21.2,46.4,78.1,61.3,131.83,101.2303,183.651,525.4,2882.0,2268.0,1542.0,1401.0,1039.8,12.6,56.0,8.6,6.225,115.831,97.739,167.855,32.38043,6.01
1975-08,15.6,3954200.0,86234.0,3650.0,59418.0,20.1,46.5,77.9,61.3,131.9313,101.6154,182.9282,524.2,2808.0,2371.0,1390.0,1472.0,1047.0,13.0,56.1,8.4,5.92,,,,,
1975-09,16.1,3895000.0,86279.0,3566.0,59646.0,19.3,46.4,77.8,61.2,132.1325,102.182,182.822,523.3,2878.0,2357.0,1308.0,1598.0,1054.8,13.0,56.1,8.4,5.85,,,,,
1975-10,15.4,3731250.0,86370.0,3600.0,59815.0,19.2,46.5,77.6,61.2,132.863,102.8868,182.7142,519.9,2962.0,2392.0,1241.0,1448.0,1060.9,13.4,56.1,8.4,5.6,124.091,105.682,177.391,32.7301,6.151
1975-11,16.6,3494400.0,86456.0,3554.0,60088.0,18.7,46.4,77.5,61.1,133.3819,103.5724,182.6189,518.6,2718.0,2345.0,1144.0,1645.0,1075.8,12.7,56.0,8.3,5.24,,,,,
1975-12,16.5,3198250.0,86665.0,3544.0,60180.0,18.7,46.6,77.2,61.1,134.0939,104.3327,183.3586,516.4,2762.0,2191.0,1282.0,1586.0,1092.1,12.0,56.1,8.2,4.8,,,,,
