DATE,CE16OV,LNS12032194,LNS15000000
1948-01-01,58061,.,.
1948-02-01,58196,.,.
1948-03-01,57671,.,.
1948-04-01,58291,.,.
1948-05-01,57854,.,.
1948-06-01,58743,.,.
1948-07-01,58968,.,.
1948-08-01,58456,.,.
1948-09-01,58513,.,.
1948-10-01,58387,.,.
1948-11-01,58417,.,.
1948-12-01,58740,.,.
1949-01-01,58175,.,.
1949-02-01,58208,.,.
1949-03-01,58043,.,.
1949-04-01,57747,.,.
1949-05-01,57552,.,.
1949-06-01,57172,.,.
1949-07-01,57190,.,.
1949-08-01,57397,.,.
1949-09-01,57584,.,.
1949-10-01,57269,.,.
1949-11-01,58009,.,.
1949-12-01,57845,.,.
1950-01-01,57635,.,.
1950-02-01,57751,.,.
1950-03-01,57728,.,.
1950-04-01,58583,.,.
1950-05-01,58649,.,.
1950-06-01,59052,.,.
1950-07-01,59001,.,.
1950-08-01,59797,.,.
1950-09-01,59575,.,.
1950-10-01,59803,.,.
1950-11-01,59697,.,.
1950-12-01,59429,.,.
1951-01-01,59636,.,.
1951-02-01,59661,.,.
1951-03-01,60401,.,.
1951-04-01,59889,.,.
1951-05-01,60188,.,.
1951-06-01,59620,.,.
1951-07-01,60156,.,.
1951-08-01,59994,.,.
1951-09-01,59713,.,.
1951-10-01,60010,.,.
1951-11-01,59836,.,.
1951-12-01,60497,.,.
1952-01-01,60460,.,.
1952-02-01,60462,.,.
1952-03-01,59908,.,.
1952-04-01,59909,.,.
1952-05-01,60195,.,.
1952-06-01,60219,.,.
1952-07-01,59971,.,.
1952-08-01,59790,.,.
1952-09-01,60521,.,.
1952-10-01,60132,.,.
1952-11-01,60748,.,.
1952-12-01,60954,.,.
1953-01-01,61600,.,.
1953-02-01,61884,.,.
1953-03-01,62010,.,.
1953-04-01,61444,.,.
1953-05-01,61019,.,.
1953-06-01,61456,.,.
1953-07-01,61397,.,.
1953-08-01,61151,.,.
1953-09-01,60906,.,.
1953-10-01,60893,.,.
1953-11-01,60738,.,.
1953-12-01,59977,.,.
1954-01-01,60024,.,.
1954-02-01,60663,.,.
1954-03-01,60186,.,.
1954-04-01,60185,.,.
1954-05-01,59908,.,.
1954-06-01,59792,.,.
1954-07-01,59643,.,.
1954-08-01,59853,.,.
1954-09-01,60282,.,.
1954-10-01,60270,.,.
1954-11-01,60357,.,.
1954-12-01,60116,.,.
1955-01-01,60753,.,.
1955-02-01,60727,.,.
1955-03-01,60964,.,.
1955-04-01,61515,.,.
1955-05-01,61634,2063,.
1955-06-01,61781,1982,.
1955-07-01,62513,2123,.
1955-08-01,62797,2203,.
1955-09-01,62950,2133,.
1955-10-01,62991,2093,.
1955-11-01,63257,2199,.
1955-12-01,63684,2149,.
1956-01-01,63753,2149,.
1956-02-01,63518,2087,.
1956-03-01,63411,1980,.
1956-04-01,63614,2051,.
1956-05-01,63861,2194,.
1956-06-01,63820,2331,.
1956-07-01,63800,2287,.
1956-08-01,63972,2353,.
1956-09-01,64079,2399,.
1956-10-01,63975,2417,.
1956-11-01,63796,2414,.
1956-12-01,63910,2306,.
1957-01-01,63632,2283,.
1957-02-01,64257,2426,.
1957-03-01,64404,2435,.
1957-04-01,64047,2283,.
1957-05-01,63985,2377,.
1957-06-01,64196,2476,.
1957-07-01,64540,2449,.
1957-08-01,63959,2440,.
1957-09-01,64121,2484,.
1957-10-01,64046,2641,.
1957-11-01,63669,2643,.
1957-12-01,63922,2712,.
1958-01-01,63220,3291,.
1958-02-01,62898,3437,.
1958-03-01,62731,3972,.
1958-04-01,62631,3743,.
1958-05-01,62874,3602,.
1958-06-01,62730,3340,.
1958-07-01,62745,2955,.
1958-08-01,63012,3178,.
1958-09-01,63181,3166,.
1958-10-01,63475,2969,.
1958-11-01,63470,2805,.
1958-12-01,63549,2825,.
1959-01-01,63868,2749,.
1959-02-01,63684,2515,.
1959-03-01,64267,2846,.
1959-04-01,64768,2592,.
1959-05-01,64699,2353,.
1959-06-01,64849,2543,.
1959-07-01,65011,2668,.
1959-08-01,64844,2599,.
1959-09-01,64770,2507,.
1959-10-01,64911,2730,.
1959-11-01,64530,2799,.
1959-12-01,65341,2734,.
1960-01-01,65347,2507,.
1960-02-01,65620,2565,.
1960-03-01,64673,2405,.
1960-04-01,65959,2769,.
1960-05-01,66057,2733,.
1960-06-01,66168,2904,.
1960-07-01,65909,2830,.
1960-08-01,65895,2933,.
1960-09-01,66267,3071,.
1960-10-01,65632,3069,.
1960-11-01,66109,3119,.
1960-12-01,65778,3305,.
1961-01-01,65776,3428,.
1961-02-01,65588,3561,.
1961-03-01,65850,3325,.
1961-04-01,65374,3295,.
1961-05-01,65449,3269,.
1961-06-01,65993,3151,.
1961-07-01,65608,3035,.
1961-08-01,65852,3152,.
1961-09-01,65541,2976,.
1961-10-01,65919,2913,.
1961-11-01,66081,2875,.
1961-12-01,65900,2645,.
1962-01-01,66108,2392,.
1962-02-01,66538,2631,.
1962-03-01,66493,2783,.
1962-04-01,66372,2596,.
1962-05-01,66688,2756,.
1962-06-01,66670,2683,.
1962-07-01,66483,2759,.
1962-08-01,66968,2626,.
1962-09-01,67192,2675,.
1962-10-01,67114,2704,.
1962-11-01,66847,2714,.
1962-12-01,66947,2575,.
1963-01-01,67072,2613,.
1963-02-01,67024,2560,.
1963-03-01,67351,2645,.
1963-04-01,67642,2644,.
1963-05-01,67615,2571,.
1963-06-01,67649,2627,.
1963-07-01,67905,2482,.
1963-08-01,67908,2740,.
1963-09-01,68174,2723,.
1963-10-01,68294,2647,.
1963-11-01,68267,2623,.
1963-12-01,68213,2580,.
1964-01-01,68327,2428,.
1964-02-01,68751,2567,.
1964-03-01,68763,2467,.
1964-04-01,69356,2562,.
1964-05-01,69631,2539,.
1964-06-01,69218,2484,.
1964-07-01,69399,2369,.
1964-08-01,69463,2369,.
1964-09-01,69578,2455,.
1964-10-01,69582,2435,.
1964-11-01,69735,2367,.
1964-12-01,69814,2462,.
1965-01-01,69997,2383,.
1965-02-01,70127,2304,.
1965-03-01,70439,2296,.
1965-04-01,70633,2230,.
1965-05-01,71034,2258,.
1965-06-01,71025,2170,.
1965-07-01,71460,2289,.
1965-08-01,71362,2259,.
1965-09-01,71286,2019,.
1965-10-01,71695,2168,.
1965-11-01,71724,2077,.
1965-12-01,72062,2037,.
1966-01-01,72198,2081,.
1966-02-01,72134,1884,.
1966-03-01,72188,1905,.
1966-04-01,72510,1908,.
1966-05-01,72497,1923,.
1966-06-01,72775,2185,.
1966-07-01,72860,2128,.
1966-08-01,73146,1942,.
1966-09-01,73258,1856,.
1966-10-01,73401,1857,.
