,A072RC1Q156SBEA,BUSLOANS,CE16OV,CIVPART,CONSUMER,CP,DPCCRC1M027SBEA,ECOMPCTSA,GOAI,HDTGPDUSQ163N,IURSA,LES1252881600Q,LNS15000000,M1V,PCE,PSAVERT,RRVRUSQ156N,TDSP,UEMP27OV,UEMPMEAN,UNRATE,W825RC1
1947-01-01,7.4,11.5246666666666667,,,4.2961333333333333,21.97,,,,,,,,,,,,,,,,
1947-04-01,5.0,12.2629666666666667,,,4.7079666666666667,20.788,,,,,,,,,,,,,,,,
1947-07-01,7.1,13.0715000000000000,,,5.1155666666666667,20.564,,,,,,,,,,,,,,,,
1947-10-01,5.8,13.9112666666666667,,,5.5139000000000000,22.451,,,,,,,,,,,,,,,,
1948-01-01,6.9,14.5712666666666667,57976.000000000000,58.6666666666666667,5.9029333333333333,23.739,,,,,,,,,,,,,119.6666666666666667,8.6666666666666667,3.7333333333333333,
1948-04-01,8.6,15.0811666666666667,58296.000000000000,58.8333333333333333,6.2822666666666667,24.941,,,,,,,,,,,,,112.0000000000000000,8.8000000000000000,3.6666666666666667,
1948-07-01,10.0,15.2101000000000000,58645.666666666667,59.0333333333333333,6.5748000000000000,24.551,,,,,,,,,,,,,120.6666666666666667,8.6333333333333333,3.7666666666666667,
1948-10-01,9.7,15.0585000000000000,58514.666666666667,58.8333333333333333,6.7909333333333333,23.76,,,,,,,,,,,,,110.0000000000000000,8.4666666666666667,3.8333333333333333,
1949-01-01,7.8,14.7916333333333333,58142.000000000000,58.8666666666666667,6.9909666666666667,21.683000000000003,,,,,,,,,,,,,116.6666666666666667,8.2666666666666667,4.6666666666666667,
1949-04-01,6.8,14.3330000000000000,57490.333333333333,58.8000000000000000,7.1772000000000000,19.172,,,,,,,,,,,,,200.0000000000000000,9.3000000000000000,5.8666666666666667,
1949-07-01,7.2,13.9229333333333333,57390.333333333333,59.0666666666666667,7.4858333333333333,19.816,,,,,,,,,,,,,334.3333333333333333,11.1666666666666667,6.7000000000000000,
1949-10-01,6.3,13.6627000000000000,57707.666666666667,59.4000000000000000,7.8946666666666667,19.457,,,,,,,,,,,,,402.3333333333333333,11.4333333333333333,6.9666666666666667,
1950-01-01,11.5,13.7993666666666667,57704.666666666667,58.8666666666666667,8.3568666666666667,20.037,,,,,,,,,,,,,408.6666666666666667,11.8333333333333333,6.4000000000000000,
1950-04-01,9.8,14.2506000000000000,58761.333333333333,59.2333333333333333,8.8659666666666667,23.815,,,,,,,,,,,,,436.0000000000000000,12.8000000000000000,5.5666666666666667,
1950-07-01,6.3,15.2920666666666667,59457.666666666667,59.2666666666666667,9.3916000000000000,28.776999999999997,,,,,,,,,,,,,311.3333333333333333,12.3000000000000000,4.6333333333333333,
1950-10-01,9.7,16.8085666666666667,59643.000000000000,59.3000000000000000,9.9233333333333333,31.581,,,,,,,,,,,,,252.0000000000000000,11.2333333333333333,4.2333333333333333,
1951-01-01,7.6,18.1922333333333333,59899.333333333333,59.3333333333333333,10.2116666666666667,26.345,,,,,,,,,,,,,176.6666666666666667,10.5000000000000000,3.5000000000000000,
1951-04-01,12.2,19.5524666666666667,59899.000000000000,59.1666666666666667,10.2881000000000000,22.589000000000002,,,,,,,,,,,,,128.3333333333333333,9.7333333333333333,3.1000000000000000,
1951-07-01,12.2,20.3652000000000000,59954.333333333333,59.2333333333333333,10.4031333333333333,20.778000000000002,,,,,,,,,,,,,120.6666666666666667,9.1333333333333333,3.1666666666666667,
1951-10-01,11.5,20.7679666666666667,60114.333333333333,59.4000000000000000,10.5349000000000000,22.592,,,,,,,,,,,,,119.0000000000000000,9.3000000000000000,3.3666666666666667,
1952-01-01,11.2,22.3132666666666667,60276.666666666667,59.3000000000000000,10.4671666666666667,22.061999999999998,,,,,,,,,,,,,93.0000000000000000,8.8333333333333333,3.0666666666666667,
1952-04-01,10.6,22.0399333333333333,60107.666666666667,59.0000000000000000,10.8634333333333333,21.295,,,,,,,,,,,,,89.6666666666666667,8.0333333333333333,2.9666666666666667,
1952-07-01,11.9,22.4121666666666667,60094.000000000000,58.9333333333333333,11.5971333333333333,21.59,,,,,,,,,,,,,64.3333333333333333,7.7333333333333333,3.2333333333333333,
1952-10-01,10.7,23.2473333333333333,60611.333333333333,59.0000000000000000,12.2987333333333333,23.752,,,,,,,,,,,,,86.3333333333333333,9.1333333333333333,2.8333333333333333,
1953-01-01,10.6,23.5965333333333333,61831.333333333333,59.5333333333333333,13.0925000000000000,24.609,,,,,,,,,,,,,84.0000000000000000,8.7333333333333333,2.7000000000000000,
1953-04-01,11.2,23.8220666666666667,61306.333333333333,58.8666666666666667,13.8603666666666667,24.658,,,,,,,,,,,,,70.3333333333333333,7.9666666666666667,2.5666666666666667,
1953-07-01,10.9,23.9290333333333333,61151.333333333333,58.6666666666666667,14.1852000000000000,24.201,,,,,,,,,,,,,68.6666666666666667,7.6666666666666667,2.7333333333333333,
1953-10-01,11.2,23.6737000000000000,60536.000000000000,58.4666666666666667,14.4143333333333333,19.351,,,,,,,,,,,,,91.3333333333333333,7.7000000000000000,3.7000000000000000,
