DATE,DPCCRC1M027SBEA
1959-01-01,225.6000000000000000
1959-04-01,231.4666666666666667
1959-07-01,235.9666666666666667
1959-10-01,237.2333333333333333
1960-01-01,240.9000000000000000
1960-04-01,245.0666666666666667
1960-07-01,245.3333333333333333
1960-10-01,246.5000000000000000
1961-01-01,246.5333333333333333
1961-04-01,250.8000000000000000
1961-07-01,254.1333333333333333
1961-10-01,261.0666666666666667
1962-01-01,265.1333333333333333
1962-04-01,270.5333333333333333
1962-07-01,273.7000000000000000
1962-10-01,279.0666666666666667
1963-01-01,281.8666666666666667
1963-04-01,286.6666666666666667
1963-07-01,292.1666666666666667
1963-10-01,296.6000000000000000
1964-01-01,304.4666666666666667
1964-04-01,310.8666666666666667
1964-07-01,317.5666666666666667
1964-10-01,319.2000000000000000
1965-01-01,329.1000000000000000
1965-04-01,333.5333333333333333
1965-07-01,340.6000000000000000
1965-10-01,350.6666666666666667
1966-01-01,359.5000000000000000
1966-04-01,362.6000000000000000
1966-07-01,370.4666666666666667
1966-10-01,375.8666666666666667
1967-01-01,379.1666666666666667
1967-04-01,387.3666666666666667
1967-07-01,394.1000000000000000
1967-10-01,399.3000000000000000
1968-01-01,414.7333333333333333
1968-04-01,426.3666666666666667
1968-07-01,439.4000000000000000
1968-10-01,446.6333333333333333
1969-01-01,455.9333333333333333
1969-04-01,465.5666666666666667
1969-07-01,473.4666666666666667
1969-10-01,482.1333333333333333
1970-01-01,489.3666666666666667
1970-04-01,497.9333333333333333
1970-07-01,507.6333333333333333
1970-10-01,511.9333333333333333
1971-01-01,529.8666666666666667
1971-04-01,541.9666666666666667
1971-07-01,554.0000000000000000
1971-10-01,568.0333333333333333
1972-01-01,583.4666666666666667
1972-04-01,597.0000000000000000
1972-07-01,612.0666666666666667
1972-10-01,630.8333333333333333
1973-01-01,652.0666666666666667
1973-04-01,663.2666666666666667
1973-07-01,674.4000000000000000
1973-10-01,684.1333333333333333
1974-01-01,694.1333333333333333
1974-04-01,713.4000000000000000
1974-07-01,733.3333333333333333
1974-10-01,737.7666666666666667
1975-01-01,761.3000000000000000
1975-04-01,782.9666666666666667
1975-07-01,808.5000000000000000
1975-10-01,836.4666666666666667
1976-01-01,865.0000000000000000
1976-04-01,881.1333333333333333
1976-07-01,904.3000000000000000
1976-10-01,928.5000000000000000
1977-01-01,959.4333333333333333
1977-04-01,984.0000000000000000
1977-07-01,1009.8000000000000000
1977-10-01,1041.1666666666666667
1978-01-01,1064.0666666666666667
1978-04-01,1114.8000000000000000
1978-07-01,1140.3666666666666667
1978-10-01,1170.5000000000000000
1979-01-01,1191.2333333333333333
1979-04-01,1220.7000000000000000
1979-07-01,1259.2333333333333333
1979-10-01,1287.5666666666666667
1980-01-01,1315.8333333333333333
1980-04-01,1311.0000000000000000
1980-07-01,1363.2000000000000000
1980-10-01,1422.4000000000000000
1981-01-01,1463.6333333333333333
1981-04-01,1485.3666666666666667
1981-07-01,1523.7000000000000000
1981-10-01,1533.3666666666666667
1982-01-01,1567.6333333333333333
1982-04-01,1595.7333333333333333
1982-07-01,1636.4000000000000000
1982-10-01,1691.9666666666666667
1983-01-01,1735.2333333333333333
1983-04-01,1788.3666666666666667
1983-07-01,1847.8333333333333333
1983-10-01,1897.4666666666666667
1984-01-01,1942.7666666666666667
1984-04-01,1989.6333333333333333
1984-07-01,2027.5666666666666667
1984-10-01,2072.6666666666666667
1985-01-01,2138.3000000000000000
1985-04-01,2183.8333333333333333
1985-07-01,2251.3666666666666667
1985-10-01,2267.8333333333333333
1986-01-01,2315.6666666666666667
1986-04-01,2360.2666666666666667
1986-07-01,2428.1666666666666667
1986-10-01,2461.0333333333333333
1987-01-01,2483.8000000000000000
1987-04-01,2543.1000000000000000
1987-07-01,2603.7666666666666667
1987-10-01,2635.8000000000000000
1988-01-01,2707.6000000000000000
1988-04-01,2759.7000000000000000
1988-07-01,2818.6000000000000000
1988-10-01,2886.6333333333333333
1989-01-01,2931.4333333333333333
1989-04-01,2979.8000000000000000
1989-07-01,3033.4000000000000000
1989-10-01,3063.5666666666666667
1990-01-01,3145.0000000000000000
1990-04-01,3180.1000000000000000
1990-07-01,3224.3666666666666667
1990-10-01,3229.9000000000000000
1991-01-01,3246.6666666666666667
1991-04-01,3292.9333333333333333
1991-07-01,3342.3666666666666667
1991-10-01,3375.7333333333333333
1992-01-01,3475.6333333333333333
1992-04-01,3523.3333333333333333
1992-07-01,3588.8666666666666667
1992-10-01,3659.0666666666666667
1993-01-01,3700.9333333333333333
1993-04-01,3768.9666666666666667
1993-07-01,3829.2666666666666667
1993-10-01,3887.1666666666666667
1994-01-01,3951.2333333333333333
1994-04-01,4007.5000000000000000
1994-07-01,4069.1666666666666667
1994-10-01,4142.0000000000000000
1995-01-01,4174.5666666666666667
1995-04-01,4237.7333333333333333
1995-07-01,4299.5333333333333333
1995-10-01,4356.8333333333333333
