DATE,GOAI
2005-01-01,22835860.0
2005-04-01,23225964
2005-07-01,23733860
2005-10-01,24256101.0
2006-01-01,24604792.0
2006-04-01,24842698.0
2006-07-01,25058383
2006-10-01,25219544
2007-01-01,25630832
2007-04-01,26121304.0
2007-07-01,26368941
2007-10-01,26832921.0
2008-01-01,27006436
2008-04-01,27560979
2008-07-01,27436449.0
2008-10-01,25952972
2009-01-01,24814442.0
2009-04-01,24659800.0
2009-07-01,24900137
2009-10-01,25303526.0
2010-01-01,25791798.0
2010-04-01,26242361.0
2010-07-01,26608845
2010-10-01,27046447
2011-01-01,27510762
2011-04-01,27953951.0
2011-07-01,28178343
2011-10-01,28354924.0
2012-01-01,28944267
2012-04-01,28979426
2012-07-01,29173247.0
2012-10-01,29650449.0
2013-01-01,29843786.0
2013-04-01,30134194
2013-07-01,30400374
2013-10-01,30787035.0
2014-01-01,31167559
2014-04-01,31662760
2014-07-01,31999041
2014-10-01,32130830
2015-01-01,31917770.0
2015-04-01,32266158.0
2015-07-01,32406564.0
2015-10-01,32298706.0
2016-01-01,32303760.0
2016-04-01,32696435.0
2016-07-01,33070662.0
2016-10-01,33457790.0
2017-01-01,33984605.0
2017-04-01,34167883.0
2017-07-01,34490926.0
2017-10-01,35255510.0
2018-01-01,35838590.0
2018-04-01,36453036.0
2018-07-01,36916678.0
2018-10-01,37205317.0
2019-01-01,37377858.0
2019-04-01,37709075.0
2019-07-01,37991143.0
2019-10-01,38189854.0
2020-01-01,37826784.0
2020-04-01,34260023.0
2020-07-01,36942491.0
2020-10-01,37920463.0
