DATE,corp_profit_aftertax_without,corp_profit_aftertax_with,corp_profit_beforetax_without,fed_debt_precent_gdp,m1_velocity
1966-01-01,58.118,64.668,90.826,40.33999,4.688
1966-04-01,58.576,63.743,91.204,39.26763,4.692
1966-07-01,58.397,62.672,90.553,39.62091,4.792
1966-10-01,57.517,64.476,88.953,39.51977,4.858
1967-01-01,55.152,62.694,85.784,39.20383,4.873
1967-04-01,55.258,61.809,85.602,38.03292,4.834
1967-07-01,56.54,62.608,87.148,38.82145,4.82
1967-10-01,59.497,64.384,91.881,39.10231,4.831
1968-01-01,58.82,61.667,95.276,38.42951,4.92
1968-04-01,60.526,65.05,97.59,36.96379,4.97
1968-07-01,61.024,65.527,98.14,37.30897,4.961
1968-10-01,62.599,66.09,100.619,36.98532,4.944
1969-01-01,61.994,64.775,100.694,36.19577,4.983
1969-04-01,60.335,62.864,97.803,34.97403,5.022
1969-07-01,58.634,61.35,94.702,35.01946,5.103
1969-10-01,57.815,56.844,93.411,35.46954,5.102
1970-01-01,55.323,53.587,86.399,35.38879,5.112
1970-04-01,55.194,57.314,86.35,34.67329,5.152
1970-07-01,56.132,56.24,88.276,34.86717,5.174
1970-10-01,53.35,52.782,84.026,35.74822,5.095
1971-01-01,60.152,62.238,94.536,34.50345,5.226
1971-04-01,62.42,63.423,97.736,34.36089,5.212
1971-07-01,66.544,66.884,101.096,35.00694,5.219
1971-10-01,68.735,70.81,103.715,35.63237,5.226
1972-01-01,72.785,74.377,109.925,34.72622,5.299
1972-04-01,73.825,75.95,111.285,33.67383,5.365
1972-07-01,77.004,79.403,115.772,33.62447,5.356
1972-10-01,83.484,82.677,126.556,33.74758,5.383
1973-01-01,95.547,87.48,141.563,33.29287,5.471
1973-04-01,99.033,85.213,145.069,32.34466,5.55
1973-07-01,101.161,89.045,145.145,32.12455,5.564
1973-10-01,106.253,89.292,152.745,31.77379,5.657
1974-01-01,112.656,85.693,157.26,31.76449,5.622
1974-04-01,115.543,82.261,162.207,30.99462,5.714
1974-07-01,121.06,72.772,172.572,30.86269,5.775
1974-10-01,107.908,73.153,154.068,30.79768,5.851
1975-01-01,94.707,79.438,133.019,31.53604,5.875
1975-04-01,99.406,87.52,140.826,32.27817,5.915
1975-07-01,115.831,97.739,167.855,32.38043,6.01
1975-10-01,124.091,105.682,177.391,32.7301,6.151
1976-01-01,132.702,114.267,193.546,32.98513,6.264
1976-04-01,136.551,113.771,195.931,33.49464,6.266
1976-07-01,138.84,115.767,197.82,33.64333,6.318
1976-10-01,139.091,115.875,197.559,33.78753,6.364
1977-01-01,149.831,121.202,212.751,33.65136,6.389
1977-04-01,158.751,136.491,227.171,32.80422,6.479
1977-07-01,165.143,148.802,235.983,32.98791,6.572
1977-10-01,166.231,142.623,238.067,33.21873,6.586
1978-01-01,171.939,143.746,238.131,33.5012,6.564
1978-04-01,190.742,159.716,270.75,32.12444,6.78
1978-07-01,197.659,165.997,277.887,32.21407,6.847
1978-10-01,209.891,173.409,294.871,31.86206,6.971
1979-01-01,212.498,167.768,294.422,31.53601,7.012
1979-04-01,220.901,170.03,303.013,31.06277,6.997
1979-07-01,225.792,169.036,306.828,30.98402,7.049
1979-10-01,222.428,166.137,300.304,31.02615,7.147
1980-01-01,223.244,152.078,308.632,30.94982,7.188
1980-04-01,194.714,142.114,259.646,31.37303,7.249
1980-07-01,202.262,142.47,274.406,31.77687,7.153
1980-10-01,208.875,155.641,288.347,31.157,7.293
1981-01-01,213.17,166.212,291.311,30.87284,7.528
1981-04-01,201.614,171.767,270.691,30.70875,7.428
1981-07-01,206.868,186.194,278.516,30.60333,7.637
1981-10-01,203.587,184.542,265.981,31.35587,7.592
1982-01-01,183.468,171.235,234.08,32.41298,7.401
1982-04-01,185.364,183.478,238.1,32.40213,7.452
1982-07-01,180.728,180.462,233.94,33.9253,7.446
1982-10-01,174.574,179.079,223.19,35.18156,7.235
1983-01-01,176.17,194.341,226.41,35.82911,7.176
1983-04-01,195.362,209.357,260.694,36.87167,7.171
1983-07-01,206.519,217.26,280.503,37.3311,7.229
1983-10-01,211.822,232.435,287.942,37.17553,7.309
1984-01-01,220.108,248.172,308.544,37.45447,7.402
1984-04-01,220.957,251.083,308.101,37.72687,7.462
1984-07-01,212.293,258.84,287.037,38.49586,7.54
1984-10-01,213.695,267.523,289.279,40.08547,7.576
1985-01-01,204.768,267.371,285.28,40.44121,7.522
1985-04-01,205.85,272.719,284.662,41.31983,7.457
1985-07-01,209.89,284.113,294.63,41.55909,7.358
1985-10-01,211.649,267.309,294.025,43.78715,7.247
1986-01-01,176.84,252.856,264.68,44.07415,7.193
1986-04-01,172.969,238.165,261.373,45.30682,6.98
1986-07-01,171.499,225.55,261.503,46.12536,6.788
1986-10-01,175.984,213.441,277.22,47.55286,6.575
1987-01-01,187.831,224.31,289.374,47.57835,6.455
1987-04-01,215.335,247.767,330.457,48.04867,6.457
1987-07-01,230.169,266.501,350.053,48.1165,6.555
1987-10-01,239.018,274.545,353.278,48.55667,6.649
1988-01-01,249.639,281.605,362.23,49.03151,6.688
1988-04-01,265.179,288.593,385.181,49.08744,6.717
1988-07-01,264.662,286.1,393.782,49.25732,6.749
1988-10-01,276.88,304.459,412.231,49.71548,6.879
1989-01-01,275.1,286.526,412.27,49.73276,7.028
1989-04-01,268.646,292.879,391.61,49.8876,7.234
1989-07-01,257.909,297.698,376.843,50.17117,7.307
1989-10-01,258.272,282.397,376.892,51.38111,7.283
1990-01-01,268.869,297.117,385.623,51.96856,7.356
1990-04-01,282.342,312.229,404.009,52.7473,7.391
1990-07-01,288.2,282.596,413.339,53.75313,7.377
1990-10-01,289.53,291.708,413.234,56.03613,7.303
1991-01-01,303.293,334.812,423.45,57.41652,7.247
1991-04-01,309.454,336.675,425.449,57.74551,7.212
1991-07-01,314.815,333.806,431.732,59.06123,7.166
1991-10-01,318.455,333.812,436.638,60.68599,7.058
1992-01-01,328.586,347.763,459.017,60.99679,6.886
1992-04-01,340.749,347.262,473.119,61.57938,6.814
1992-07-01,323.237,337.39,451.034,61.89802,6.735
1992-10-01,330.015,348.611,467.072,62.52256,6.584
1993-01-01,328.957,341.907,470.684,62.86657,6.508
1993-04-01,343.279,357.791,497.402,63.91524,6.406
1993-07-01,355.933,379.879,502.315,64.10093,6.289
1993-10-01,375.422,398.502,553.377,64.66861,6.25
1994-01-01,404.995,428.416,560.915,64.30709,6.264
1994-04-01,418.333,443.174,582.456,64.10716,6.339
1994-07-01,439.704,461.204,619.929,64.01176,6.369
1994-10-01,453.102,475.619,643.516,64.38584,6.479
1995-01-01,467.603,473.014,662.349,64.66271,6.55
1995-04-01,491.19,501.361,682.223,65.31294,6.614
1995-07-01,498.739,528.356,696.765,64.73906,6.714
1995-10-01,505.677,544.273,699.668,64.18282,6.86
1996-01-01,524.958,570.595,726.619,65.04171,7.016
1996-04-01,526.924,571.385,740.315,64.2497,7.18
1996-07-01,522.644,576.328,736.36,64.25469,7.369
1996-10-01,534.89,594.137,751.667,64.44697,7.623
1997-01-01,546.764,620.834,764.966,64.34428,7.761
1997-04-01,565.264,639.157,787.741,63.10907,8.002
1997-07-01,587.262,662.439,821.463,62.48709,8.102
1997-10-01,589.208,657.419,813.375,62.77032,8.195
1998-01-01,514.609,590.531,736.753,62.50988,8.238
1998-04-01,512.233,590.486,731.17,61.85196,8.326
1998-07-01,507.761,592.175,733.218,60.58693,8.469
1998-10-01,490.487,573.39,711.168,60.40696,8.511
1999-01-01,523.039,620.58,749.51,60.01334,8.584
1999-04-01,537.853,616.658,761.403,59.20506,8.645
1999-07-01,536.775,596.109,764.385,58.42135,8.816
1999-10-01,556.245,596.749,788.155,58.34802,8.902
2000-01-01,527.574,565.189,770.883,57.71743,8.989
2000-04-01,519.811,556.425,761.52,55.48513,9.251
2000-07-01,513.298,558.414,736.092,54.98329,9.372
2000-10-01,491.81,532.415,717.789,54.24085,9.549
2001-01-01,528.836,559.398,717.433,55.1304,9.501
2001-04-01,551.684,595.285,734.373,54.03766,9.458
2001-07-01,505.61,583.876,668.439,54.80656,9.096
2001-10-01,489.453,615.711,635.928,55.75305,9.086
2002-01-01,538.088,705.127,685.452,55.66835,9.055
2002-04-01,596.152,729.565,749.824,56.24119,9.155
2002-07-01,652.139,752.785,813.945,56.66127,9.205
2002-10-01,725.113,816.675,904.966,57.85782,9.14
2003-01-01,721.524,788.666,921.467,57.77057,9.056
2003-04-01,723.377,828.343,919.833,58.96044,8.932
2003-07-01,763.915,858.038,981.564,58.64208,8.941
2003-10-01,816.612,894.897,1057.618,59.4596,9.046
2004-01-01,928.229,990.974,1179.638,59.82355,9.039
2004-04-01,967.703,1000.078,1239.285,60.07385,9.062
2004-07-01,1010.194,1037.668,1302.93,59.97601,9.096
2004-10-01,1010.647,1014.537,1308.967,60.66032,9.135
2005-01-01,1228.657,1066.312,1604.404,60.94141,9.317
2005-04-01,1252.584,1093.018,1616.546,60.70087,9.436
2005-07-01,1296.981,1112.78,1667.23,60.3575,9.558
2005-10-01,1363.54,1163.425,1772.577,61.28277,9.692
2006-01-01,1387.911,1208.233,1809.292,61.53482,9.855
2006-04-01,1425.152,1210.472,1857.786,61.23753,9.954
2006-07-01,1444.791,1237.405,1896.081,61.34482,10.124
2006-10-01,1398.202,1208.362,1813.484,61.83717,10.252
2007-01-01,1325.943,1110.222,1744.562,62.284,10.393
2007-04-01,1400.804,1179.661,1814.11,61.65661,10.455
2007-07-01,1345.84,1149.382,1722.347,61.97214,10.574
2007-10-01,1368.063,1126.304,1726.757,62.86259,10.678
2008-01-01,1260.771,1090.441,1558.756,64.41587,10.599
2008-04-01,1285.329,1079.404,1570.559,64.11087,10.602
2008-07-01,1226.043,1101.92,1496.693,67.57397,10.373
2008-10-01,721.414,847.956,891.223,73.48998,9.516
2009-01-01,1082.708,1083.083,1254.684,77.2997,9.132
2009-04-01,1161.627,1088.429,1356.958,80.4389,8.809
2009-07-01,1346.957,1250.078,1553.371,82.59064,8.674
2009-10-01,1462.942,1309.857,1704.953,84.16278,8.684
2010-01-01,1530.604,1386.233,1786.945,86.76598,8.683
2010-04-01,1517.068,1378.523,1779.315,88.44771,8.711
2010-07-01,1600.154,1523.638,1879.334,89.93168,8.635
2010-10-01,1599.159,1537.504,1890.461,92.02388,8.396
2011-01-01,1464.223,1385.233,1749.344,93.35519,8.17
2011-04-01,1529.084,1506.637,1814.197,92.5588,8.013
2011-07-01,1539.465,1562.105,1795.846,94.85943,7.506
2011-10-01,1617.095,1662.068,1913.534,96.36931,7.317
2012-01-01,1880.022,1705.692,2199.909,97.42044,7.238
2012-04-01,1801.743,1672.678,2135.981,98.15989,7.141
2012-07-01,1818.331,1643.707,2160.051,98.82568,6.921
2012-10-01,1785.961,1629.228,2128.47,100.45154,6.713
2013-01-01,1766.372,1622.754,2127.093,101.21783,6.692
