DATE,HDTGPDUSQ163N
2005-01-01,88.405
2005-04-01,89.961
2005-07-01,91.029
2005-10-01,91.939
2006-01-01,92.73
2006-04-01,94.242
2006-07-01,95.826
2006-10-01,96.6
2007-01-01,96.664
2007-04-01,97.605
2007-07-01,98.299
2007-10-01,98.777
2008-01-01,99.821
2008-04-01,98.33
2008-07-01,99.107
2008-10-01,98.893
2009-01-01,99.318
2009-04-01,99.46
2009-07-01,99.027
2009-10-01,97.592
2010-01-01,96.25
2010-04-01,94.518
2010-07-01,93.148
2010-10-01,92.267
2011-01-01,91.86
2011-04-01,90.331
2011-07-01,89.475
2011-10-01,88.331
2012-01-01,86.821
2012-04-01,85.83
2012-07-01,85.486
2012-10-01,84.942
2013-01-01,83.598
2013-04-01,83.307
2013-07-01,82.703
2013-10-01,82.631
2014-01-01,82.42
2014-04-01,81.434
2014-07-01,80.117
2014-10-01,79.929
2015-01-01,78.972
2015-04-01,78.769
2015-07-01,78.579
2015-10-01,78.588
2016-01-01,78.147
2016-04-01,78.104
2016-07-01,78.405
2016-10-01,78.068
2017-01-01,77.471
2017-04-01,77.721
2017-07-01,77.459
2017-10-01,77.258
2018-01-01,76.303
2018-04-01,75.853
2018-07-01,76.056
2018-10-01,76.064
2019-01-01,75.321
2019-04-01,75.371
2019-07-01,75.428
2019-10-01,75.462
2020-01-01,76.45
2020-04-01,84.672
2020-07-01,79.36
