DATE,target_retail,target_mining_logging,target_construction,target_edu_health,target_manufacturing,target_prof_business,target_gov,target_leisure_hospitality
1939-01,3107.8,882,1139,1381,9077,1943,3988,1860
1939-02,3121.8,884,1162,1384,9175,1950,4001,1867
1939-03,3139.7,883,1225,1387,9275,1958,4002,1877
1939-04,3154.8,624,1249,1389,9309,1957,4002,1887
1939-05,3151.7,737,1262,1399,9299,1968,4006,1888
1939-06,3152.9,868,1264,1406,9315,1980,4003,1895
1939-07,3165.8,852,1221,1411,9231,1985,4019,1897
1939-08,3165.9,859,1236,1412,9400,1990,4046,1899
1939-09,3185.0,885,1203,1424,9604,2010,4076,1918
1939-10,3186.1,925,1186,1415,9873,2021,4089,1910
1939-11,3192.0,939,1172,1421,9896,2027,4109,1913
1939-12,3178.1,930,1142,1428,9949,2033,4134,1930
1940-01,3233.5,925,1121,1433,9927,2039,4150,1936
1940-02,3250.8,929,1178,1440,9916,2047,4150,1945
1940-03,3336.7,926,1214,1447,9884,2051,4151,1993
1940-04,3279.1,920,1276,1455,9817,2055,4152,1965
1940-05,3303.7,930,1298,1460,9810,2061,4172,1979
1940-06,3324.9,918,1290,1465,9832,2066,4218,1995
1940-07,3318.9,920,1272,1469,9766,2070,4261,1988
1940-08,3331.5,923,1286,1478,10048,2087,4282,2000
1940-09,3366.1,928,1379,1487,10258,2104,4312,2023
1940-10,3370.1,932,1506,1496,10471,2123,4353,2023
1940-11,3379.8,936,1627,1501,10643,2137,4396,2025
1940-12,3411.1,939,1777,1507,10847,2155,4415,2056
1941-01,3408.6,945,1833,1516,10993,2171,4468,2045
1941-02,3436.5,951,1820,1526,11211,2189,4504,2061
1941-03,3458.1,961,1739,1536,11409,2207,4535,2074
1941-04,3570.6,681,1772,1551,11698,2232,4585,2138
1941-05,3519.9,979,1784,1558,11957,2259,4642,2110
1941-06,3560.1,990,1791,1563,12204,2277,4701,2133
1941-07,3593.6,1001,1881,1575,12382,2301,4750,2151
1941-08,3624.1,1013,1918,1583,12532,2317,4821,2172
1941-09,3632.5,1020,1939,1587,12683,2326,4891,2175
1941-10,3615.1,1022,1935,1594,12770,2336,4907,2165
1941-11,3615.3,1021,1915,1601,12810,2344,4949,2165
1941-12,3606.7,1024,1903,1606,12876,2351,4971,2165
1942-01,3592.6,1029,1914,1611,12965,2362,5089,2161
1942-02,3579.5,1021,1900,1608,13127,2365,5146,2154
1942-03,3566.7,1014,2042,1615,13311,2377,5257,2149
1942-04,3542.0,1022,2170,1623,13509,2394,5357,2141
1942-05,3535.8,1025,2271,1626,13704,2403,5431,2137
1942-06,3503.1,1019,2380,1632,13842,2413,5510,2123
1942-07,3490.9,1018,2494,1640,14072,2429,5591,2118
1942-08,3494.6,1011,2478,1644,14339,2442,5814,2124
1942-09,3493.5,1002,2433,1647,14582,2454,5866,2118
1942-10,3508.8,994,2352,1649,14772,2463,5956,2132
1942-11,3498.8,989,2260,1645,14971,2470,6026,2126
1942-12,3479.8,984,2136,1645,15288,2482,6072,2118
1943-01,3473.4,974,2064,1649,15532,2498,6132,2115
1943-02,3466.2,978,2022,1653,15685,2509,6223,2113
1943-03,3465.7,973,1954,1655,15856,2515,6257,2112
1943-04,3505.9,968,1854,1655,15961,2519,6267,2139
1943-05,3474.8,958,1737,1656,16044,2521,6281,2118
1943-06,3495.3,957,1639,1658,16204,2528,6324,2128
1943-07,3490.1,954,1516,1658,16306,2531,6257,2125
1943-08,3481.6,947,1433,1658,16369,2532,6151,2122
1943-09,3478.9,950,1357,1663,16366,2537,6167,2115
1943-10,3492.7,950,1334,1666,16512,2546,6170,2133
1943-11,3508.5,943,1320,1671,16598,2558,6179,2142
1943-12,3448.8,950,1316,1674,16526,2557,6271,2112
1944-01,3507.3,947,1323,1661,16439,2552,6162,2139
1944-02,3507.2,948,1300,1668,16330,2556,6129,2142
1944-03,3508.4,942,1237,1670,16170,2549,6113,2138
1944-04,3498.1,940,1172,1667,16012,2540,6112,2138
1944-05,3505.4,938,1149,1666,15944,2536,6121,2135
1944-06,3508.5,934,1123,1671,15890,2535,6147,2136
1944-07,3528.4,925,1103,1668,15832,2529,6190,2145
1944-08,3533.3,922,1081,1669,15781,2527,6204,2149
1944-09,3529.8,914,1036,1667,15662,2523,6216,2139
1944-10,3540.8,906,1085,1665,15630,2519,6223,2154
1944-11,3544.6,901,1095,1667,15568,2524,6263,2159
1944-12,3496.1,894,1113,1668,15659,2525,6375,2135
1945-01,3572.8,893,1143,1659,15669,2527,6254,2170
1945-02,3582.3,892,1191,1667,15581,2533,6239,2179
1945-03,3612.9,890,1179,1666,15473,2528,6216,2188
1945-04,3522.1,855,1148,1666,15335,2519,6185,2147
1945-05,3575.6,820,1138,1666,15201,2512,6159,2166
1945-06,3581.8,878,1133,1681,14948,2512,6181,2171
1945-07,3600.9,868,1144,1692,14599,2512,6185,2182
1945-08,3613.9,863,1159,1706,14201,2506,6135,2194
1945-09,3665.2,857,1143,1711,12486,2447,5942,2215
1945-10,3696.2,795,1231,1733,12487,2466,5854,2242
1945-11,3742.5,871,1291,1753,12537,2498,5830,2274
1945-12,3722.3,880,1336,1773,12528,2514,5811,2264
1946-01,3880.6,891,1421,1797,12719,2560,5785,2350
1946-02,3946.1,885,1501,1819,11922,2550,5778,2392
1946-03,3995.1,891,1581,1839,12545,2596,5758,2413
1946-04,4066.2,600,1639,1857,13200,2635,5761,2458
1946-05,4080.3,807,1679,1869,13389,2650,5732,2461
1946-06,4110.7,911,1697,1880,13598,2670,5680,2477
1946-07,4145.3,929,1761,1886,13771,2691,5682,2496
1946-08,4202.8,939,1808,1904,13981,2717,5681,2535
1946-09,4209.7,941,1836,1932,14135,2747,5669,2536
1946-10,4223.4,945,1875,1933,14182,2756,5664,2545
1946-11,4282.0,946,1901,1945,14310,2778,5639,2579
1946-12,4265.6,932,1931,1956,14301,2779,5628,2564
1947-01,4282.1,958,1927,1976,14328,2805,5619,2587
1947-02,4296.0,962,1960,1986,14278,2813,5606,2600
1947-03,4326.2,965,1972,1992,14259,2817,5588,2612
1947-04,4334.8,946,1992,1997,14240,2814,5558,2620
1947-05,4368.6,972,2015,2005,14189,2823,5551,2637
1947-06,4391.0,977,2076,2013,14200,2834,5524,2649
1947-07,4410.6,953,2077,2020,14076,2839,5524,2659
1947-08,4416.4,985,2095,2024,14200,2847,5519,2666
1947-09,4440.2,989,2094,2030,14315,2859,5539,2673
1947-10,4469.7,997,2109,2039,14393,2870,5566,2690
1947-11,4478.7,1002,2101,2044,14414,2877,5585,2697
1947-12,4481.8,1005,2130,2049,14428,2882,5605,2695
1948-01,4490.5,1008,2179,2047,14438,2885,5624,2704
1948-02,4489.4,1003,2105,2051,14339,2885,5615,2706
1948-03,4503.4,1017,2163,2058,14364,2894,5623,2713
1948-04,4469.8,917,2202,2069,14183,2891,5643,2697
1948-05,4512.0,1028,2245,2074,14235,2904,5681,2720
1948-06,4530.0,1035,2280,2082,14318,2912,5736,2729
1948-07,4543.9,1006,2284,2084,14359,2920,5774,2736
1948-08,4545.2,1033,2269,2088,14353,2920,5791,2739
1948-09,4544.7,1036,2264,2090,14441,2923,5805,2736
1948-10,4544.5,1030,2263,2087,14390,2917,5829,2735
1948-11,4547.2,1027,2280,2088,14292,2915,5869,2737
1948-12,4552.6,1025,2306,2096,14086,2914,5888,2743
1949-01,4535.0,1011,2292,2080,13867,2892,5894,2730
1949-02,4536.2,1010,2275,2088,13734,2888,5893,2734
1949-03,4525.6,1003,2264,2083,13581,2876,5915,2727
1949-04,4586.8,1003,2243,2092,13439,2882,5948,2760
1949-05,4531.8,991,2232,2097,13269,2877,5962,2735
1949-06,4516.8,976,2197,2095,13178,2865,5956,2725
1949-07,4500.5,953,2202,2098,13067,2860,5962,2718
1949-08,4496.1,961,2208,2098,13158,2858,5985,2715
1949-09,4519.2,955,2223,2104,13225,2864,5990,2729
1949-10,4498.4,630,2218,2106,12891,2832,5970,2719
1949-11,4485.1,929,2229,2109,12882,2847,5950,2715
1949-12,4509.8,948,2207,2113,13062,2863,5952,2735
1950-01,4496.5,878,2216,2105,13161,2861,5934,2717
1950-02,4497.6,638,2228,2114,13169,2856,5926,2720
1950-03,4512.6,951,2241,2113,13290,2876,6078,2727
1950-04,4531.8,954,2293,2127,13471,2904,6094,2740
1950-05,4546.5,955,2345,2135,13780,2916,6043,2751
1950-06,4571.9,957,2408,2143,13923,2938,6022,2765
1950-07,4595.1,938,2454,2150,14072,2954,6090,2777
1950-08,4639.7,965,2491,2159,14461,2982,6187,2801
1950-09,4639.8,967,2512,2161,14561,2990,6228,2801
1950-10,4640.5,966,2546,2166,14737,3000,6249,2803
1950-11,4643.7,962,2564,2171,14762,3007,6262,2807
1950-12,4651.9,959,2542,2178,14782,3017,6314,2818
1951-01,4696.6,959,2609,2187,14950,3037,6352,2838
1951-02,4722.4,962,2628,2195,15076,3049,6382,2853
1951-03,4799.2,959,2670,2204,15125,3065,6410,2894
1951-04,4676.4,948,2696,2208,15166,3070,6451,2828
1951-05,4756.0,954,2711,2212,15164,3073,6417,2873
1951-06,4767.0,958,2692,2219,15176,3077,6499,2880
1951-07,4771.5,945,2692,2226,15110,3082,6538,2883
1951-08,4775.9,959,2689,2235,15061,3087,6519,2888
1951-09,4774.4,952,2674,2233,14996,3082,6552,2887
1951-10,4774.3,958,2699,2238,14973,3085,6577,2887
1951-11,4794.3,958,2660,2244,14999,3095,6626,2898
1951-12,4799.2,957,2696,2248,15045,3101,6688,2904
1952-01,4805.0,958,2694,2257,15067,3113,6589,2906
1952-02,4812.7,954,2754,2267,15105,3123,6650,2912
1952-03,4804.7,957,2691,2266,15127,3125,6662,2905
1952-04,4842.8,956,2688,2270,15162,3129,6662,2927
1952-05,4849.5,954,2687,2277,15143,3134,6694,2933
1952-06,4863.6,874,2717,2277,14828,3118,6712,2939
1952-07,4881.7,848,2713,2280,14707,3112,6737,2949
1952-08,4896.1,931,2718,2286,15279,3147,6718,2958
1952-09,4922.7,930,2723,2289,15553,3160,6734,2972
1952-10,4946.7,927,2695,2292,15690,3172,6816,2986
1952-11,4964.5,923,2707,2297,15843,3184,6801,2995
1952-12,4979.9,923,2714,2306,15973,3199,6935,3005
1953-01,4981.6,926,2728,2300,16067,3199,6794,3006
1953-02,4998.8,919,2764,2309,16158,3211,6797,3017
1953-03,5017.4,911,2728,2316,16270,3220,6784,3027
1953-04,4958.1,908,2707,2322,16293,3228,6770,2999
1953-05,5019.9,905,2684,2327,16341,3235,6717,3032
1953-06,5025.9,903,2663,2335,16343,3240,6734,3036
1953-07,5025.1,900,2657,2339,16353,3245,6723,3037
1953-08,5029.2,899,2657,2344,16278,3246,6754,3041
1953-09,5024.1,895,2680,2355,16151,3246,6749,3039
1953-10,5040.4,890,2707,2354,15981,3240,6764,3047
1953-11,5025.4,886,2701,2356,15728,3230,6749,3040
1953-12,5010.1,879,2713,2357,15581,3223,6743,3035
1954-01,5010.5,872,2651,2354,15440,3212,6760,3032
1954-02,5006.7,864,2709,2358,15307,3207,6783,3031
1954-03,4973.1,848,2703,2360,15197,3198,6796,3012
1954-04,5022.0,836,2701,2366,15065,3202,6806,3043
1954-05,4993.1,822,2680,2372,14974,3201,6829,3028
1954-06,4984.5,821,2669,2380,14910,3203,6846,3025
1954-07,4993.4,817,2664,2393,14799,3208,6868,3031
1954-08,4993.5,813,2666,2397,14772,3211,6892,3033
1954-09,4990.8,795,2661,2411,14805,3221,6894,3034
1954-10,4991.7,803,2677,2404,14841,3219,6900,3033
1954-11,5002.2,805,2720,2409,14913,3228,6964,3041
1954-12,5027.2,805,2736,2417,14967,3238,6957,3060
1955-01,5040.2,806,2769,2428,15034,3250,6953,3063
1955-02,5049.7,809,2779,2435,15138,3262,6923,3070
1955-03,5082.2,817,2835,2444,15258,3277,6938,3088
1955-04,5099.3,821,2871,2458,15375,3293,6959,3106
1955-05,5123.4,827,2903,2467,15493,3310,6991,3116
1955-06,5150.5,830,2916,2478,15585,3328,7020,3132
1955-07,5176.5,830,2932,2496,15614,3347,7049,3149
1955-08,5193.2,831,2922,2509,15679,3361,7023,3162
1955-09,5226.2,838,2921,2525,15668,3375,7067,3180
1955-10,5228.3,841,2901,2541,15740,3393,7118,3185
1955-11,5250.5,843,2898,2554,15813,3409,7083,3198
1955-12,5289.2,846,2903,2563,15859,3420,7132,3218
1956-01,5302.3,850,2933,2572,15882,3432,7167,3230
1956-02,5316.7,856,2986,2583,15889,3442,7212,3241
1956-03,5375.7,863,2999,2591,15829,3451,7252,3272
1956-04,5279.6,869,3033,2592,15909,3455,7276,3232
1956-05,5324.2,859,3073,2591,15893,3455,7367,3245
1956-06,5326.2,868,3202,2592,15835,3455,7367,3245
1956-07,5304.3,805,3117,2578,15468,3423,7405,3231
1956-08,5305.4,869,3160,2579,15893,3445,7451,3232
1956-09,5293.5,868,3129,2595,15863,3454,7481,3227
1956-10,5316.8,868,3113,2607,15937,3469,7519,3244
1956-11,5321.2,865,3105,2617,15916,3476,7553,3248
1956-12,5321.9,863,3106,2625,15957,3484,7584,3249
1957-01,5306.2,867,2996,2639,15970,3496,7620,3245
