DATE,REALLN,CONSUMER,BUSLOANS
1947-01-01,6.796,4.1612,11.2894
1947-02-01,6.9551,4.2966,11.5179
1947-03-01,7.1249,4.4306,11.7667
1947-04-01,7.2966,4.5687,12.0269
1947-05-01,7.4699,4.7087,12.2788
1947-06-01,7.6361,4.8465,12.4832
1947-07-01,7.8092,4.9815,12.7800
1947-08-01,7.9809,5.1168,13.0822
1947-09-01,8.1487,5.2484,13.3523
1947-10-01,8.3174,5.3819,13.6287
1947-11-01,8.4845,5.5142,13.8998
1947-12-01,8.6428,5.6456,14.2053
1948-01-01,8.8194,5.7786,14.4049
1948-02-01,8.9518,5.9030,14.5635
1948-03-01,9.0946,6.0272,14.7454
1948-04-01,9.2382,6.1559,14.9301
1948-05-01,9.3782,6.2822,15.0976
1948-06-01,9.5132,6.4087,15.2158
1948-07-01,9.6263,6.5025,15.2705
1948-08-01,9.7141,6.5749,15.2120
1948-09-01,9.8022,6.6470,15.1478
1948-10-01,9.8895,6.7191,15.0945
1948-11-01,9.9750,6.7905,15.0462
1948-12-01,10.0546,6.8632,15.0348
1949-01-01,10.1415,6.9304,14.9254
1949-02-01,10.1855,6.9911,14.7874
1949-03-01,10.2368,7.0514,14.6621
1949-04-01,10.2838,7.1145,14.5149
1949-05-01,10.3285,7.1769,14.3455
1949-06-01,10.3673,7.2402,14.1386
1949-07-01,10.4284,7.3486,14.0212
1949-08-01,10.4933,7.4857,13.9230
1949-09-01,10.5573,7.6232,13.8246
1949-10-01,10.6213,7.7584,13.7376
1949-11-01,10.6841,7.8938,13.6548
1949-12-01,10.7452,8.0318,13.5957
1950-01-01,10.8820,8.1905,13.6493
1950-02-01,11.0301,8.3569,13.7957
1950-03-01,11.1819,8.5232,13.9531
1950-04-01,11.3294,8.6946,14.1119
1950-05-01,11.4721,8.8647,14.2519
1950-06-01,11.6076,9.0386,14.3880
1950-07-01,11.7702,9.2126,14.7712
1950-08-01,11.9461,9.3920,15.2975
1950-09-01,12.1145,9.5702,15.8075
1950-10-01,12.2836,9.7462,16.3104
1950-11-01,12.4544,9.9240,16.8092
1950-12-01,12.6219,10.0998,17.3061
1951-01-01,12.7791,10.1865,17.7542
1951-02-01,12.8930,10.2120,18.1862
1951-03-01,13.0078,10.2365,18.6363
1951-04-01,13.1077,10.2624,19.1031
1951-05-01,13.2035,10.2878,19.5512
1951-06-01,13.2826,10.3141,20.0031
1951-07-01,13.3717,10.3536,20.2509
1951-08-01,13.4661,10.4035,20.3672
1951-09-01,13.5464,10.4523,20.4775
1951-10-01,13.6351,10.5007,20.6053
1951-11-01,13.7262,10.5501,20.7329
1951-12-01,13.7744,10.5539,20.9657
1952-01-01,13.6522,10.3998,22.1319
1952-02-01,13.6920,10.4559,22.4316
1952-03-01,13.7838,10.5458,22.3763
1952-04-01,13.8904,10.6132,22.1380
1952-05-01,13.9909,10.7961,21.9293
1952-06-01,14.1335,11.1810,22.0525
1952-07-01,14.1862,11.4008,22.1461
1952-08-01,14.2762,11.6217,22.3937
1952-09-01,14.3747,11.7689,22.6967
1952-10-01,14.4525,12.0587,23.0685
1952-11-01,14.5314,12.3068,23.4435
1952-12-01,14.6152,12.5307,23.2300
1953-01-01,14.7509,12.8032,23.4687
1953-02-01,14.8910,13.0765,23.6226
1953-03-01,14.9713,13.3978,23.6983
1953-04-01,15.0410,13.6752,23.8228
1953-05-01,15.1400,13.8937,23.8827
1953-06-01,15.2691,14.0122,23.7607
1953-07-01,15.3169,14.0443,23.7782
1953-08-01,15.3560,14.1945,23.9951
1953-09-01,15.4112,14.3168,24.0138
1953-10-01,15.4940,14.3955,23.9825
1953-11-01,15.5775,14.3646,23.8700
1953-12-01,15.6815,14.4829,23.1686
1954-01-01,15.7036,14.4953,23.0112
1954-02-01,15.7079,14.3278,22.9520
1954-03-01,15.8053,14.2642,22.9270
1954-04-01,15.9122,14.2036,22.7987
1954-05-01,16.0059,14.1649,22.6694
1954-06-01,16.1206,14.2211,22.5139
1954-07-01,16.2817,14.3085,22.4390
1954-08-01,16.4543,14.4190,22.4422
1954-09-01,16.5989,14.4418,22.4805
1954-10-01,16.7815,14.4976,22.5787
1954-11-01,16.9649,14.5744,22.6956
1954-12-01,17.1987,14.7242,22.5382
1955-01-01,17.4247,14.8217,22.8036
1955-02-01,17.6462,14.9558,22.9901
1955-03-01,17.8715,15.1819,23.1876
1955-04-01,18.0734,15.4428,23.3723
1955-05-01,18.2861,15.6720,23.7085
1955-06-01,18.5473,16.0807,24.1102
1955-07-01,18.7283,16.2965,24.5263
1955-08-01,18.9229,16.4447,24.9630
1955-09-01,19.1557,16.6159,25.3672
1955-10-01,19.3747,16.8109,25.7546
1955-11-01,19.4168,16.9503,26.4404
1955-12-01,19.4592,17.0879,26.7161
1956-01-01,19.6029,17.2573,27.1736
1956-02-01,19.7735,17.3710,27.6564
1956-03-01,19.9583,17.5483,28.5289
1956-04-01,20.1586,17.7106,29.2850
1956-05-01,20.3402,17.8523,29.6299
