DATE,UEMPLT5,UEMP5TO14,UEMP15T26,UEMP27OV
1948-01-01,1188,507,183,128
1948-02-01,1377,677,162,121
1948-03-01,1279,830,182,110
1948-04-01,1461,694,215,109
1948-05-01,1146,671,220,109
1948-06-01,1287,611,204,118
1948-07-01,1259,643,188,107
1948-08-01,1511,591,204,128
1948-09-01,1245,759,171,127
1948-10-01,1210,655,188,136
1948-11-01,1251,682,187,95
1948-12-01,1432,696,206,99
1949-01-01,1510,715,211,104
1949-02-01,1603,889,244,130
1949-03-01,1631,1025,298,116
1949-04-01,1652,1171,325,158
1949-05-01,1884,1247,410,192
1949-06-01,1729,1405,455,250
1949-07-01,1852,1410,539,309
1949-08-01,1874,1472,578,339
1949-09-01,1651,1506,618,355
1949-10-01,2332,1385,632,368
1949-11-01,1747,1242,626,430
1949-12-01,1748,1400,552,409
1950-01-01,1780,1256,549,398
1950-02-01,1600,1333,541,406
1950-03-01,1503,1329,490,422
1950-04-01,1472,1126,450,470
1950-05-01,1464,1011,475,415
1950-06-01,1468,1090,445,423
1950-07-01,1411,955,431,338
1950-08-01,1251,953,335,298
1950-09-01,1272,888,350,298
1950-10-01,1262,752,266,279
1950-11-01,1354,755,247,260
1950-12-01,1459,725,265,217
1951-01-01,1115,687,259,179
1951-02-01,1107,608,188,198
1951-03-01,1215,558,202,153
1951-04-01,1160,503,154,140
1951-05-01,1125,490,139,130
1951-06-01,1125,656,143,115
1951-07-01,1183,480,133,127
1951-08-01,1184,522,132,117
1951-09-01,1294,549,105,118
1951-10-01,1279,627,170,99
1951-11-01,1233,630,161,155
1951-12-01,1138,569,166,103
1952-01-01,1066,549,178,104
1952-02-01,1181,541,160,88
1952-03-01,1150,477,147,87
1952-04-01,1137,480,124,118
1952-05-01,1179,511,136,83
1952-06-01,1196,482,142,68
1952-07-01,1187,573,127,67
1952-08-01,1270,584,149,62
1952-09-01,1130,541,185,64
1952-10-01,1050,548,142,88
1952-11-01,1017,493,149,67
1952-12-01,1044,406,134,104
1953-01-01,1059,469,181,87
1953-02-01,1068,409,127,81
1953-03-01,1029,445,129,84
1953-04-01,1131,486,110,70
1953-05-01,973,494,128,48
1953-06-01,985,406,120,93
1953-07-01,1002,453,96,72
1953-08-01,1076,394,111,66
1953-09-01,1163,446,110,68
1953-10-01,1242,497,124,66
1953-11-01,1307,591,163,96
1953-12-01,1761,752,197,112
1954-01-01,1631,962,226,146
1954-02-01,1706,1080,380,152
1954-03-01,1729,1083,533,232
1954-04-01,1725,1183,496,278
1954-05-01,1643,1218,562,317
1954-06-01,1573,1141,563,317
1954-07-01,1623,1043,603,329
1954-08-01,1587,1233,582,420
1954-09-01,1640,1412,585,432
1954-10-01,1535,1136,555,454
1954-11-01,1457,1069,546,429
1954-12-01,1414,1014,434,393
1955-01-01,1398,879,461,421
1955-02-01,1296,857,387,439
1955-03-01,1184,873,432,384
1955-04-01,1301,848,411,400
1955-05-01,1295,678,380,354
1955-06-01,1305,781,333,335
1955-07-01,1282,679,343,297
1955-08-01,1445,784,260,275
1955-09-01,1357,807,308,250
1955-10-01,1429,845,328,244
1955-11-01,1386,841,289,275
1955-12-01,1338,840,295,286
1956-01-01,1336,715,310,251
1956-02-01,1289,774,269,276
1956-03-01,1502,789,280,241
1956-04-01,1353,824,271,205
1956-05-01,1483,918,305,201
1956-06-01,1505,967,330,186
1956-07-01,1469,906,317,206
1956-08-01,1376,786,308,235
1956-09-01,1356,726,335,242
1956-10-01,1319,742,283,247
1956-11-01,1481,751,338,237
1956-12-01,1446,790,308,259
1957-01-01,1373,857,331,178
1957-02-01,1293,793,305,225
1957-03-01,1241,785,296,218
1957-04-01,1335,738,283,233
1957-05-01,1423,776,299,239
1957-06-01,1392,1008,266,260
1957-07-01,1366,871,281,254
1957-08-01,1395,810,310,232
1957-09-01,1484,925,338,221
1957-10-01,1399,1000,357,293
1957-11-01,1598,1113,397,277
1957-12-01,1585,1190,471,260
1958-01-01,1701,1278,581,298
1958-02-01,1883,1429,657,348
1958-03-01,1933,1483,776,352
1958-04-01,1881,1588,876,511
1958-05-01,1855,1590,922,571
1958-06-01,1755,1536,970,707
1958-07-01,1818,1433,958,838
1958-08-01,1760,1407,926,962
1958-09-01,1626,1488,778,1017
1958-10-01,1643,1239,778,930
1958-11-01,1531,1130,745,825
1958-12-01,1692,1135,663,827
1959-01-01,1574,1169,594,802
1959-02-01,1554,1164,545,732
1959-03-01,1459,1093,530,680
1959-04-01,1494,934,408,631
1959-05-01,1479,1005,390,575
1959-06-01,1522,963,415,548
1959-07-01,1591,1047,394,495
1959-08-01,1607,1113,407,482
1959-09-01,1602,1275,449,446
1959-10-01,1750,1292,436,447
1959-11-01,1745,1205,505,477
1959-12-01,1657,1122,453,467
1960-01-01,1638,1045,450,465
1960-02-01,1431,1034,412,429
1960-03-01,1666,1120,519,440
1960-04-01,1735,1002,465,431
1960-05-01,1718,1074,408,389
1960-06-01,1738,1182,458,396
1960-07-01,1709,1184,521,400
1960-08-01,1746,1287,517,410
1960-09-01,1677,1213,516,466
1960-10-01,1766,1282,623,566
1960-11-01,1718,1367,673,550
1960-12-01,2102,1468,588,554
1961-01-01,1884,1477,688,640
1961-02-01,2037,1407,751,665
1961-03-01,1863,1476,769,694
1961-04-01,1729,1427,796,802
1961-05-01,1748,1432,827,859
1961-06-01,1841,1419,723,928
1961-07-01,1789,1356,839,991
1961-08-01,1701,1387,749,900
1961-09-01,1859,1297,686,845
1961-10-01,1811,1288,659,822
1961-11-01,1638,1269,622,766
1961-12-01,1734,1175,623,738
1962-01-01,1701,1161,561,674
1962-02-01,1504,1118,561,683
1962-03-01,1721,1049,523,639
1962-04-01,1629,1105,499,623
1962-05-01,1543,1131,507,627
1962-06-01,1598,1101,506,573
1962-07-01,1592,1142,484,565
1962-08-01,1731,1238,485,596
1962-09-01,1749,1192,567,529
1962-10-01,1636,1144,516,506
1962-11-01,1838,1076,611,440
1962-12-01,1732,1171,558,510
1963-01-01,1730,1253,578,544
1963-02-01,1858,1283,540,597
1963-03-01,1701,1266,488,599
1963-04-01,1717,1226,480,591
1963-05-01,1870,1160,552,605
1963-06-01,1719,1259,567,500
1963-07-01,1693,1289,522,548
1963-08-01,1677,1150,593,521
1963-09-01,1695,1225,510,559
1963-10-01,1738,1163,541,530
1963-11-01,1859,1227,533,521
1963-12-01,1774,1213,517,490
1964-01-01,1805,1156,553,504
1964-02-01,1708,1216,528,487
1964-03-01,1783,1124,534,505
1964-04-01,1767,1192,464,470
1964-05-01,1681,1094,471,504
1964-06-01,1719,1109,539,508
1964-07-01,1486,1112,479,523
1964-08-01,1696,1074,426,508
1964-09-01,1703,1097,457,460
1964-10-01,1754,1055,470,433
1964-11-01,1596,1047,484,438
1964-12-01,1672,1057,444,429
1965-01-01,1626,1092,404,389
1965-02-01,1743,1090,507,412
1965-03-01,1702,1029,437,359
1965-04-01,1747,1018,428,368
1965-05-01,1670,1043,385,351
1965-06-01,1656,1009,417,369
1965-07-01,1654,959,359,324
1965-08-01,1613,940,406,327
1965-09-01,1627,860,376,356
1965-10-01,1533,920,336,336
1965-11-01,1531,895,334,311
1965-12-01,1436,857,366,293
1966-01-01,1523,777,333,290
1966-02-01,1505,758,324,270
1966-03-01,1523,814,315,268
1966-04-01,1563,653,324,251
1966-05-01,1631,821,249,285
1966-06-01,1647,779,245,230
1966-07-01,1640,809,218,209
1966-08-01,1622,827,259,205
1966-09-01,1555,793,286,202
1966-10-01,1541,780,273,221
1966-11-01,1499,776,264,200
1966-12-01,1582,745,278,210
1967-01-01,1608,854,286,203
1967-02-01,1596,862,258,201
1967-03-01,1586,869,256,180
1967-04-01,1547,896,254,174
1967-05-01,1581,905,264,153
1967-06-01,1704,883,272,150
1967-07-01,1642,863,261,151
1967-08-01,1595,928,241,200
1967-09-01,1667,895,286,162
1967-10-01,1730,962,294,178
1967-11-01,1680,905,308,182
1967-12-01,1616,920,290,195
1968-01-01,1458,904,313,190
1968-02-01,1710,845,289,179
1968-03-01,1651,784,268,179
1968-04-01,1436,856,244,149
1968-05-01,1567,745,259,136
1968-06-01,1755,816,243,162
1968-07-01,1647,831,267,159
1968-08-01,1645,765,240,153
1968-09-01,1534,781,243,132
1968-10-01,1507,799,252,134
1968-11-01,1593,768,226,131
1968-12-01,1527,800,191,160
1969-01-01,1554,785,209,130
1969-02-01,1442,863,243,115
1969-03-01,1603,770,234,119
1969-04-01,1600,764,253,133
1969-05-01,1649,657,261,126
1969-06-01,1664,799,244,124
1969-07-01,1686,816,217,160
1969-08-01,1637,865,241,132
1969-09-01,1693,963,243,148
1969-10-01,1814,853,238,136
1969-11-01,1580,888,246,146
1969-12-01,1585,883,281,132
1970-01-01,1800,933,288,143
1970-02-01,1950,1048,309,161
1970-03-01,1978,1133,353,181
1970-04-01,2139,1106,400,202
1970-05-01,2109,1241,360,231
1970-06-01,2100,1290,433,224
1970-07-01,2132,1329,428,234
1970-08-01,2182,1348,454,251
1970-09-01,2235,1448,507,281
1970-10-01,2386,1470,512,259
1970-11-01,2338,1713,539,332
1970-12-01,2369,1586,719,383
1971-01-01,2302,1626,683,430
1971-02-01,2178,1633,620,448
1971-03-01,2144,1637,645,453
1971-04-01,2206,1575,695,454
1971-05-01,2229,1566,665,508
1971-06-01,2180,1606,626,541
1971-07-01,2210,1549,684,567
1971-08-01,2337,1568,711,550
1971-09-01,2301,1568,676,563
1971-10-01,2222,1546,677,591
1971-11-01,2304,1629,696,581
1971-12-01,2320,1518,700,583
1972-01-01,2324,1489,664,593
1972-02-01,2111,1470,641,651
1972-03-01,2303,1418,600,632
1972-04-01,2229,1500,530,673
1972-05-01,2192,1534,588,580
1972-06-01,2279,1489,591,550
1972-07-01,2248,1515,635,519
1972-08-01,2285,1541,619,537
